joueur,equipe,equipe_periode,poste,age,valeur_marchande,contrat,minutes,pays_naissance,passeport,pied,taille,poids,prete,actions_def_90,duels_def_90,duels_def_pct,duels_aeriens_90,duels_aeriens_pct,tacles_padj,tirs_contres_90,interceptions_padj,fautes_90,xg_90,tirs_90,tirs_cible_pct,dribbles_90,dribbles_pct,duels_off_90,courses_prog_90,accelerations_90,fautes_subies_90,passes_90,passes_pct,passes_avant_90,passes_avant_pct,passes_longues_90,passes_longues_pct,xa_90,secondes_pd_90,passes_judicieuses_90,passes_quasi_pd_90,passes_tiers_adv_90,passes_tiers_adv_pct,passes_surface_90,passes_surface_pct,passes_penetrantes_90,passes_prog_90,passes_prog_pct,ligue,equipe_norm,score_bloc,score_pressing,score_avec_ballon,score_transition_off,label_bloc,label_pressing,label_avec_ballon,label_transition_off,actions_def_90_adj,duels_def_90_adj,tacles_padj_adj,interceptions_padj_adj,tirs_contres_90_adj,passes_90_adj,passes_pct_adj,passes_prog_90_adj,passes_avant_90_adj,passes_tiers_adv_90_adj,courses_prog_90_adj,accelerations_90_adj,dribbles_90_adj,actions_def_90_adj_pct,duels_def_90_adj_pct,tacles_padj_adj_pct,interceptions_padj_adj_pct,tirs_contres_90_adj_pct,passes_90_adj_pct,passes_pct_adj_pct,passes_prog_90_adj_pct,passes_avant_90_adj_pct,passes_tiers_adv_90_adj_pct,courses_prog_90_adj_pct,accelerations_90_adj_pct,dribbles_90_adj_pct,xg_90_pct,xa_90_pct,secondes_pd_90_pct,passes_quasi_pd_90_pct,passes_surface_90_pct,passes_penetrantes_90_pct,passes_judicieuses_90_pct,duels_def_pct_pct,duels_aeriens_pct_pct,score_mc_recuperateur,score_mc_mdef,score_mc_relanceur,score_mc_boxtbox,score_mc_interieur,score_mc_offensif,impact_contexte,niveau_fiabilite
Fabián Ruiz,PSG,PSG,LCMF,29.0,35000000,2027-06-30,878,Spain,Spain,gauche,189,70,non,4.61,2.46,54.17,0.31,100.0,0.0,0.0,6.23,0.1,0.09,1.13,27.27,0.51,40.0,1.95,1.64,0.1,0.1,86.41,91.46,28.19,86.55,6.15,65.0,0.1,0.0,0.31,0.51,12.4,85.95,3.38,57.58,0.92,10.97,88.79,L1,psg,28.11111111111111,44.44444444444445,98.61111111111111,75.0,Bloc bas,Pressing modéré,Possession,Contre-attaque,4.7551296296296295,2.537444444444444,0.0,6.42612962962963,0.0,73.4585011574074,77.75158564814814,9.325769675925926,23.964762731481482,10.541435185185184,1.4554999999999998,0.08875,0.452625,6.651376146788992,2.064220183486239,14.360587002096437,81.34171907756813,10.894495412844037,99.77064220183486,22.93577981651376,97.24770642201835,100.0,97.93577981651376,76.8348623853211,56.19266055045872,21.55963302752294,72.24770642201835,85.3211009174312,31.76605504587156,92.31651376146789,97.47706422018348,92.88990825688074,91.39908256880734,23.623853211009173,99.08256880733946,38.16572843940531,26.049958047237126,70.70243693519184,58.395589653552264,80.62003058103976,75.46881826124947,-0.08942901234567907,echantillon_moyen
Q. Timber,Olympique Marseille,Olympique Marseille,"LCMF, AMF, RDMF",24.0,28000000,2030-06-30,771,Netherlands,"Netherlands, Curaçao",droite,179,71,non,7.35,7.0,71.67,0.7,16.67,0.91,0.0,2.12,0.93,0.07,0.58,20.0,2.33,60.0,9.34,1.87,0.23,1.87,38.4,84.19,12.02,78.64,0.82,42.86,0.07,0.12,0.35,0.35,4.2,75.0,1.98,58.82,0.23,3.74,84.38,L1,olympique marseille,25.735735735735734,46.94444444444444,83.33333333333333,74.44444444444446,Bloc bas,Pressing modéré,Possession,Contre-attaque,7.480632638888889,7.124412037037038,0.9261735648148149,2.1576790740740743,0.0,33.28,72.96466666666667,3.241333333333334,10.417333333333334,3.64,1.6627762962962962,0.20451259259259258,2.071801481481481,51.146788990825684,76.14678899082568,86.58280922431865,6.498951781970649,10.894495412844037,27.981651376146786,7.79816513761468,11.926605504587156,36.23853211009174,18.807339449541285,82.56880733944955,75.0,87.38532110091744,60.09174311926605,73.85321100917432,88.64678899082568,80.61926605504587,80.61926605504587,42.43119266055046,94.26605504587155,94.4954128440367,8.486238532110093,39.86370701344411,41.15882847210201,39.14381434588722,51.243817849106065,58.89162844036698,62.366480996068155,-0.0577800925925925,echantillon_moyen
M. O'Riley,Brighton,Olympique Marseille,"RCMF, RDMF, AMF",25.0,20000000,2029-06-30,820,England,"England, Denmark",gauche,189,77,non,5.16,5.71,48.08,1.1,20.0,0.47,0.11,3.0,1.76,0.08,0.77,28.57,0.55,60.0,2.2,0.99,0.0,0.11,49.5,87.8,12.73,75.0,3.07,39.29,0.23,0.0,0.0,0.55,5.93,72.22,2.2,55.0,0.22,4.06,81.08,L1,olympique marseille,25.735735735735734,46.94444444444444,83.33333333333333,74.44444444444446,Bloc bas,Pressing modéré,Possession,Contre-attaque,5.251709444444445,5.811484675925926,0.47835337962962965,3.053319444444445,0.11195504629629631,42.9,76.09333333333333,3.5186666666666664,11.032666666666668,5.139333333333333,0.8802933333333333,0.0,0.48905185185185185,10.77981651376147,46.10091743119266,65.40880503144653,13.522012578616351,32.3394495412844,66.74311926605505,16.28440366972477,15.137614678899084,42.201834862385326,45.642201834862384,50.917431192660544,21.444954128440365,24.08256880733945,67.31651376146789,98.27981651376146,31.76605504587156,93.69266055045871,86.58256880733946,40.481651376146786,22.477064220183486,10.091743119266056,10.206422018348624,29.90056654261151,27.45165995903295,42.92263244227932,40.26774071234864,49.456613149847094,50.34840541721276,-0.05778009259259252,echantillon_moyen
A. Haidara,Lens,Lens,"LCMF, RDMF, CB",28.0,20000000,2029-06-30,118,Mali,Mali,droite,175,72,non,3.05,2.29,33.33,3.05,100.0,1.0,0.0,2.0,0.76,0.2,1.53,100.0,0.0,0.0,0.76,0.0,0.0,1.53,50.34,95.45,19.07,92.0,1.53,100.0,0.0,0.76,0.0,0.0,6.1,100.0,1.53,100.0,0.0,7.63,90.0,L1,lens,46.27450980392156,68.33333333333333,73.05555555555556,61.66666666666667,Bloc médian,Pressing intensif,Possession,Mixte,2.7760083333333334,2.0842816666666666,0.9101666666666667,1.8203333333333334,0.0,44.98181972222223,85.29031967592593,6.817864212962963,17.040192731481483,5.45071712962963,0.0,0.0,0.0,0.9174311926605505,0.9174311926605505,85.9538784067086,5.450733752620545,10.894495412844037,74.08256880733946,56.65137614678899,79.81651376146789,91.28440366972477,52.06422018348624,2.981651376146789,21.444954128440365,2.86697247706422,93.34862385321101,11.238532110091743,100.0,14.678899082568808,66.1697247706422,9.747706422018348,22.477064220183486,2.1788990825688073,99.08256880733946,32.67778715403997,26.269640865116457,54.43927754010842,38.37757074441339,30.32129204892966,44.47356924421144,-0.09813657407407406,faible_echantillon
P. Højbjerg,Olympique Marseille,Olympique Marseille,"LDMF, LCMF, RCMF",30.0,18000000,2028-06-30,2335,Denmark,"Denmark, France",droite,187,81,non,6.28,4.16,62.04,2.12,43.64,0.33,0.12,4.95,1.04,0.09,1.08,39.29,0.96,60.0,4.74,1.0,0.08,1.31,67.41,91.54,20.43,84.53,2.97,57.14,0.06,0.04,0.19,0.31,10.87,80.5,1.54,52.5,0.66,8.21,83.57,L1,olympique marseille,25.735735735735734,46.94444444444444,83.33333333333333,74.44444444444446,Bloc bas,Pressing modéré,Possession,Contre-attaque,6.3916153703703715,4.233936296296297,0.3358651388888889,5.037977083333334,0.12213277777777778,58.422,79.33466666666668,7.115333333333334,17.706,9.420666666666666,0.8891851851851851,0.0711348148148148,0.8536177777777777,27.293577981651374,12.155963302752294,52.41090146750524,61.0062893081761,34.403669724770644,96.10091743119266,31.880733944954127,84.40366972477065,93.34862385321101,96.10091743119266,51.37614678899083,52.293577981651374,46.330275229357795,72.24770642201835,69.38073394495413,66.62844036697247,74.6559633027523,67.08715596330275,82.11009174311926,80.27522935779817,61.353211009174316,49.77064220183486,47.47445749908642,38.33454443386609,69.99212668738375,59.985896453093964,72.41284403669725,70.35058977719528,-0.057780092592592563,titulaire
S. Fofana,Rennes,Rennes,"LCMF, LW",30.0,16000000,2029-06-30,740,France,"France, Côte d'Ivoire",droite,185,74,non,3.16,2.8,47.83,1.34,90.91,0.0,0.12,2.63,0.49,0.07,1.09,33.33,2.31,63.16,7.42,2.43,0.49,1.46,43.91,90.58,9.85,87.65,1.34,54.55,0.08,0.12,0.12,0.24,3.53,89.66,2.19,50.0,0.12,3.77,83.87,L1,rennes,36.58730158730159,50.277777777777786,79.44444444444444,77.22222222222221,Bloc médian,Pressing modéré,Possession,Contre-attaque,3.154747962962963,2.7953462962962963,0.0,2.6256288425925924,0.11980055555555555,38.43669981481481,79.28937074074074,3.3000764814814816,8.62221574074074,3.0899920370370366,2.141145,0.4317535185185185,2.0354094444444444,1.146788990825688,2.981651376146789,14.360587002096437,9.433962264150944,33.48623853211009,47.477064220183486,31.65137614678899,13.302752293577983,18.11926605504587,9.63302752293578,92.88990825688074,92.20183486238533,86.69724770642202,60.09174311926605,78.6697247706422,88.64678899082568,64.44954128440367,86.0091743119266,24.88532110091743,65.71100917431193,9.63302752293578,97.93577981651376,20.449969226626663,20.03595195507088,32.40738485400507,42.39949471220027,54.544724770642205,60.93627129750983,-0.08365277777777778,echantillon_moyen
Y. Ndayishimiye,Nice,Nice,"DMF, CB",27.0,15000000,2027-06-30,82,Burundi,Burundi,droite,183,76,non,9.88,2.2,0.0,2.2,100.0,2.31,1.1,8.08,2.2,0.31,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,19.76,77.78,6.59,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,100.0,L1,nice,56.28019323671498,57.22222222222223,50.27777777777778,61.11111111111111,Bloc médian,Pressing modéré,Équilibré,Mixte,9.482787407407407,2.111551851851852,2.2171294444444443,7.755154074074074,1.055775925925926,19.72715814814815,77.65072675925926,1.0981717592592593,6.5790471759259255,0.0,0.0,0.0,0.0,86.23853211009175,1.146788990825688,98.53249475890985,93.29140461215934,99.54128440366972,2.064220183486239,22.706422018348622,0.9174311926605505,5.73394495412844,0.34403669724770647,2.981651376146789,21.444954128440365,2.86697247706422,98.27981651376146,11.238532110091743,31.76605504587156,14.678899082568808,3.096330275229358,9.747706422018348,22.477064220183486,0.45871559633027525,99.08256880733946,60.76576654549652,69.34077664300965,25.47587209541944,31.915834137012954,10.993310397553515,18.43736347750109,-0.02093287037037043,faible_echantillon
G. Kondogbia,Olympique Marseille,Olympique Marseille,"RDMF, RCMF, LCMF",33.0,12000000,2027-06-30,642,France,"France, Central African Republic",gauche,188,80,non,10.65,6.45,63.04,2.66,36.84,1.25,0.7,8.54,1.82,0.05,0.42,33.33,0.98,85.71,4.21,0.98,0.14,1.12,60.84,88.02,17.24,71.54,4.49,34.38,0.0,0.14,0.0,0.14,7.71,63.64,1.12,25.0,1.26,4.49,75.0,L1,olympique marseille,25.735735735735734,46.94444444444444,83.33333333333333,74.44444444444446,Bloc bas,Pressing modéré,Possession,Contre-attaque,10.83928402777778,6.564636805555557,1.2722164351851852,8.691782685185185,0.7124412037037037,52.728,76.284,3.8913333333333338,14.941333333333333,6.682,0.8714014814814813,0.12448592592592592,0.8714014814814813,96.10091743119266,65.36697247706422,92.87211740041928,95.59748427672956,97.24770642201835,91.28440366972477,17.660550458715598,19.954128440366972,81.65137614678899,73.39449541284404,50.0,63.07339449541285,47.24770642201835,47.706422018348626,11.238532110091743,91.39908256880734,48.1651376146789,45.75688073394495,97.93577981651376,22.477064220183486,66.05504587155964,29.931192660550458,78.63159884503685,77.98355968591926,62.14559927023144,64.9752796392921,50.201834862385326,53.5386631716907,-0.05778009259259252,echantillon_moyen
V. Rongier,Rennes,Rennes,DMF,31.0,12000000,2028-06-30,2417,France,France,droite,172,67,non,9.31,6.4,68.6,1.71,47.83,0.05,0.37,6.45,1.41,0.04,0.74,45.0,0.86,69.57,3.35,1.38,0.0,0.71,60.81,88.85,18.92,80.51,3.2,50.0,0.06,0.0,0.34,0.26,9.16,82.11,2.01,37.04,0.89,7.37,78.28,L1,rennes,36.58730158730159,50.277777777777786,79.44444444444444,77.22222222222221,Bloc médian,Pressing modéré,Possession,Contre-attaque,9.294526435185185,6.389362962962963,0.04991689814814815,6.439279861111111,0.3693850462962963,53.23014611111111,77.77501203703703,6.4513431481481485,16.561657037037037,8.018222962962962,1.2159588888888888,0.0,0.7577714814814814,82.79816513761467,60.321100917431195,29.559748427672954,81.9706498951782,75.0,92.20183486238533,23.165137614678898,74.77064220183486,88.76146788990825,88.53211009174312,66.28440366972477,21.444954128440365,40.36697247706422,40.022935779816514,69.38073394495413,31.76605504587156,68.34862385321101,81.42201834862385,91.39908256880734,93.92201834862385,89.90825688073394,58.256880733944946,70.08141721000904,64.29367655261285,70.61275590670172,63.972077285129046,70.96693425076452,64.33185889034513,-0.06315509259259261,titulaire
N. Bentaleb,Lille,Lille,"RDMF, DMF, RCMF",31.0,10000000,2026-06-30,1172,France,"France, Algeria",gauche,187,78,non,6.83,2.76,61.11,2.0,57.69,0.67,0.46,5.75,0.61,0.11,1.15,26.67,0.54,28.57,3.76,0.31,0.0,1.08,55.37,85.85,17.66,77.83,6.37,63.86,0.05,0.0,0.23,0.38,9.75,78.74,2.46,50.0,1.0,10.44,71.32,L1,lille,32.74231678486998,53.611111111111114,76.66666666666667,77.77777777777777,Bloc bas,Pressing modéré,Possession,Contre-attaque,6.687360509259259,2.7023594444444443,0.6560075462962963,5.629915509259259,0.4503932407407407,48.87325333333333,75.77693333333333,9.21504,15.587893333333334,8.606,0.2726851851851852,0.0,0.47500000000000003,34.862385321100916,2.522935779816514,76.93920335429769,72.74633123689728,83.71559633027523,84.63302752293578,15.59633027522936,96.55963302752293,83.71559633027523,93.11926605504587,11.697247706422019,21.444954128440365,23.165137614678898,80.96330275229357,64.10550458715596,31.76605504587156,84.51834862385321,91.1697247706422,94.4954128440367,84.97706422018348,55.61926605504587,83.02752293577981,60.80801201604062,52.83841995557094,70.92991810710782,57.61830988237428,67.18329510703364,64.23465487112277,-0.06910879629629628,rotation
P. Lees-Melou,Paris,Paris,"DMF, RCMF",32.0,10000000,2027-06-30,1690,France,France,droite,185,70,non,9.37,6.66,66.4,1.33,48.0,0.48,0.16,5.92,1.17,0.06,1.38,23.08,0.75,71.43,4.31,0.53,0.0,1.22,43.03,83.91,13.47,71.54,6.28,59.32,0.07,0.11,0.11,0.37,6.66,68.0,1.76,63.64,0.27,6.44,69.42,L1,paris,36.9281045751634,29.444444444444443,61.944444444444436,30.0,Bloc médian,Bloc passif,Équilibré,Jeu placé,10.28808648148148,7.312556666666667,0.5270311111111111,6.50005037037037,0.17567703703703705,40.314528101851856,78.61473513888889,6.03359425925926,12.619955694444446,6.2397108333333335,0.5808800000000001,0.0,0.8220000000000001,93.57798165137615,80.5045871559633,69.18238993710692,83.01886792452831,44.4954128440367,55.96330275229357,26.834862385321102,67.20183486238533,59.862385321100916,66.97247706422019,30.275229357798167,21.444954128440365,44.03669724770643,53.78440366972477,73.85321100917432,87.38532110091744,83.37155963302753,74.88532110091744,48.73853211009174,62.72935779816514,82.56880733944955,58.600917431192656,69.31180579597255,68.33748232935204,62.595422529406434,59.09057263203014,56.58046636085626,58.31285495849717,0.017437500000000026,rotation
M. Munetsi,Paris,Paris,"LCMF, RCMF",29.0,10000000,2028-06-30,654,Zimbabwe,Zimbabwe,droite,188,83,oui,6.88,4.82,77.14,6.06,52.27,0.0,0.28,3.69,1.1,0.43,1.65,50.0,0.96,57.14,4.68,0.41,0.0,0.96,18.99,78.99,6.61,66.67,0.83,33.33,0.0,0.0,0.0,0.0,2.61,63.16,0.41,0.0,0.0,2.2,43.75,L1,paris,36.9281045751634,29.444444444444443,61.944444444444436,30.0,Bloc médian,Bloc passif,Équilibré,Jeu placé,7.554112592592592,5.292270740740741,0.0,4.051551666666667,0.3074348148148148,17.791607916666667,74.00521902777777,2.061165740740741,6.1928661574074075,2.4452920833333334,0.44936,0.0,1.05216,53.44036697247706,34.63302752293578,14.360587002096437,34.80083857442348,67.43119266055045,1.146788990825688,9.403669724770642,1.834862385321101,4.81651376146789,5.275229357798166,21.55963302752294,21.444954128440365,57.3394495412844,99.77064220183486,11.238532110091743,31.76605504587156,14.678899082568808,11.46788990825688,9.747706422018348,22.477064220183486,96.78899082568807,71.10091743119266,41.45993571249976,45.594540370819146,17.842931466049002,26.06523817766677,15.306001529051986,23.617846221057235,-0.009410493827160471,echantillon_moyen
J. Chotard,Brest,Brest,"RDMF, DMF, RCMF",24.0,10000000,2029-06-30,2446,France,France,droite,179,70,non,9.13,6.07,65.45,1.69,60.87,0.13,0.4,5.74,0.99,0.04,0.77,38.1,0.22,33.33,0.7,0.55,0.04,0.37,35.1,80.19,13.36,65.84,5.11,51.8,0.0,0.04,0.04,0.04,6.44,64.57,1.4,39.47,0.63,6.22,65.68,L1,brest,53.93162393162394,72.5,29.166666666666668,20.0,Bloc médian,Pressing intensif,Jeu direct,Jeu placé,8.174773750000002,5.43492625,0.11639875000000001,5.1394525,0.35815,38.5734375,88.12546875,6.835520833333333,14.682083333333331,7.0772916666666665,0.6193,0.04504,0.24771999999999997,70.41284403669725,36.46788990825688,34.38155136268344,63.102725366876314,73.85321100917432,48.1651376146789,69.4954128440367,80.04587155963303,79.35779816513761,78.89908256880734,32.11009174311927,46.44495412844037,10.550458715596331,40.022935779816514,11.238532110091743,66.62844036697247,29.931192660550458,60.09174311926605,79.70183486238533,46.903669724770644,80.04587155963303,87.72935779816514,64.3451167705268,62.62049037851249,62.23177604952315,53.54892554217463,48.27006880733945,50.02211664482307,-0.002833333333333344,titulaire
M. Camara,Rennes,Rennes,"RCMF, LCMF",27.0,10000000,2029-06-30,2218,France,"France, Gambia",droite,178,66,non,6.29,4.95,60.66,2.07,54.9,0.5,0.16,3.96,1.1,0.1,0.77,42.11,1.62,45.0,5.15,2.15,0.89,0.97,37.9,87.37,9.86,83.95,0.81,50.0,0.06,0.08,0.12,0.45,3.85,86.32,1.34,39.39,0.16,3.9,72.92,L1,rennes,36.58730158730159,50.277777777777786,79.44444444444444,77.22222222222221,Bloc médian,Pressing modéré,Possession,Contre-attaque,6.279545787037037,4.941772916666666,0.4991689814814815,3.9534183333333335,0.15973407407407408,33.175835185185186,76.4794912962963,3.413872222222222,8.630969259259258,3.3701046296296298,1.8944287037037035,0.7842053703703703,1.42743,25.91743119266055,23.853211009174313,67.50524109014675,32.70440251572327,42.43119266055046,27.75229357798165,18.11926605504587,14.220183486238533,18.577981651376145,12.614678899082568,90.13761467889908,98.1651376146789,74.54128440366972,76.72018348623854,69.38073394495413,80.38990825688074,88.53211009174312,56.88073394495413,31.536697247706424,65.71100917431193,53.325688073394495,76.4908256880734,37.20195987921451,39.21073990729521,34.49314983335668,47.94901374086072,54.89506880733945,58.9490498034076,-0.06315509259259258,titulaire
Hong Hyun-Seok,Gent,Nantes,RCMF,26.0,9000000,2028-06-30,312,Korea Republic,Korea Republic,gauche,177,69,oui,7.79,5.48,78.95,1.44,20.0,0.0,0.29,4.24,0.0,0.09,1.15,50.0,0.87,66.67,3.17,0.0,0.0,0.29,23.37,72.84,6.63,52.17,1.15,25.0,0.05,0.29,0.0,0.0,2.02,85.71,0.87,0.0,0.29,3.17,36.36,L1,nantes,31.111111111111114,49.44444444444444,13.055555555555555,71.11111111111111,Bloc bas,Pressing modéré,Jeu direct,Contre-attaque,7.815822407407407,5.498165185185186,0.0,4.254054814814815,0.29096129629629625,26.636498472222222,83.02107611111111,3.6130808796296296,7.556695972222222,2.302341759259259,0.0,0.0,0.7830644444444445,60.321100917431195,38.99082568807339,14.360587002096437,38.57442348008386,65.36697247706422,8.486238532110093,50.45871559633027,17.431192660550458,10.77981651376147,4.587155963302752,2.981651376146789,21.444954128440365,42.201834862385326,72.24770642201835,64.10550458715596,98.27981651376146,14.678899082568808,33.142201834862384,50.80275229357798,22.477064220183486,97.24770642201835,10.206422018348624,42.178642437443514,47.907067417729316,31.50108325021775,33.16714475300247,28.954510703363916,36.979576234163396,0.09428703703703702,faible_echantillon
A. Diouf,Internazionale,Lens,LCMF,22.0,9000000,2030-06-30,99,France,"France, Senegal",gauche,187,81,non,6.36,6.36,85.71,0.0,0.0,0.0,0.0,1.58,0.0,0.27,2.73,33.33,2.73,66.67,6.36,3.64,4.55,1.82,33.64,89.19,10.0,81.82,0.0,0.0,0.0,0.0,0.0,0.0,0.91,100.0,0.91,100.0,0.0,3.64,100.0,L1,lens,46.27450980392156,68.33333333333333,73.05555555555556,61.66666666666667,Bloc médian,Pressing intensif,Possession,Mixte,5.78866,5.78866,0.0,1.4380633333333335,0.0,30.05936462962963,79.69663291666667,3.252559074074074,8.935601851851851,0.8131397685185185,3.414926666666667,4.268658333333334,2.561195,19.03669724770642,45.87155963302752,14.360587002096437,4.612159329140461,10.894495412844037,15.36697247706422,33.94495412844037,12.155963302752294,22.018348623853214,0.6880733944954129,98.62385321100918,100.0,93.80733944954129,96.90366972477065,11.238532110091743,31.76605504587156,14.678899082568808,36.00917431192661,9.747706422018348,22.477064220183486,98.5091743119266,3.211009174311927,22.02048833496817,23.943521243244284,21.00809071825603,36.59871864619139,31.81364678899083,41.211500655308,-0.10090432098765428,faible_echantillon
H. Boudaoui,Nice,Nice,"RCMF, LCMF",26.0,9000000,2027-06-30,1333,Algeria,Algeria,droite,175,61,non,6.28,5.2,54.55,1.62,41.67,0.32,0.47,3.8,0.95,0.09,1.22,44.44,1.22,55.56,6.28,1.55,0.34,1.82,31.94,84.36,9.52,67.38,2.7,55.0,0.05,0.0,0.2,0.14,4.32,70.31,2.7,47.5,0.61,4.66,78.26,L1,nice,56.28019323671498,57.22222222222223,50.27777777777778,61.11111111111111,Bloc médian,Pressing modéré,Équilibré,Mixte,6.027520740740741,4.990940740740741,0.3071348148148148,3.6472259259259254,0.45110425925925923,31.88691453703704,84.21979055555555,4.652254907407407,9.504177407407408,4.31282,1.4581481481481482,0.3198518518518519,1.1477037037037037,22.24770642201835,24.770642201834864,49.056603773584904,23.89937106918239,83.94495412844036,21.55963302752294,53.899082568807344,36.46788990825688,29.357798165137616,32.56880733944954,77.06422018348624,86.46788990825688,63.53211009174312,72.24770642201835,64.10550458715596,31.76605504587156,48.1651376146789,94.03669724770643,78.32568807339449,81.65137614678899,25.344036697247706,45.642201834862384,40.458930168484216,42.9730955368992,44.07698735544071,51.241054427656465,59.59977064220183,60.78227391874181,-0.020932870370370445,rotation
L. Gourna-Douath,Le Havre,Le Havre,"DMF, LCMF",22.0,9000000,2027-06-30,887,France,"France, Central African Republic",droite,185,81,oui,9.54,5.89,63.79,2.23,40.91,0.4,0.91,7.2,1.32,0.02,0.61,16.67,1.72,58.82,7.0,1.42,0.1,1.93,36.22,91.6,10.86,81.31,2.74,74.07,0.01,0.0,0.1,0.2,4.87,83.33,0.51,60.0,0.1,4.77,80.85,L1,le havre,51.04166666666667,67.5,34.44444444444444,21.666666666666664,Bloc médian,Pressing intensif,Équilibré,Jeu placé,8.7135975,5.37977875,0.36535000000000006,6.576300000000001,0.83117125,39.07467259259259,98.81943703703703,5.145946666666666,11.71592888888889,5.253828148148148,1.593003333333333,0.11218333333333333,1.9295533333333332,75.68807339449542,35.77981651376147,56.18448637316562,84.0670859538784,98.85321100917432,51.146788990825684,95.87155963302753,49.54128440366973,50.0,49.31192660550459,81.65137614678899,60.550458715596335,85.09174311926606,21.674311926605505,28.09633027522936,31.76605504587156,59.63302752293578,14.793577981651376,23.05045871559633,59.518348623853214,71.55963302752293,43.34862385321101,68.48845277248861,73.25219981535976,55.08778242126001,60.7547623169053,54.19246941896024,48.68829183049366,-0.0039050925925925364,echantillon_moyen
P. Rosario,Porto,Nice,LCMF,28.0,8000000,2029-06-30,33,Netherlands,"Netherlands, Dominican Republic",droite,188,73,non,,,,,,0.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1,nice,56.28019323671498,57.22222222222223,50.27777777777778,61.11111111111111,Bloc médian,Pressing modéré,Équilibré,Mixte,,,0.0,4.798981481481482,,,,,,,,,,,,14.360587002096437,53.66876310272537,,,,,,,,,,,,,,,,,,,,,,,,,-0.04020370370370365,faible_echantillon
F. Rieder,Augsburg,Rennes,RCMF,23.0,8000000,2030-06-30,150,Switzerland,Switzerland,gauche,179,74,non,13.2,12.6,57.14,2.4,25.0,0.65,0.0,5.87,1.2,0.0,0.0,0.0,1.8,0.0,4.2,1.2,0.6,0.6,19.8,75.76,3.0,60.0,0.6,100.0,0.04,0.0,0.0,0.6,1.2,100.0,0.0,0.0,0.0,1.8,33.33,L1,rennes,36.58730158730159,50.277777777777786,79.44444444444444,77.22222222222221,Bloc médian,Pressing modéré,Possession,Contre-attaque,13.178061111111111,12.579058333333332,0.6489196759259259,5.860243842592593,0.0,17.331966666666666,66.3166562962963,1.5756333333333332,2.6260555555555554,1.0504222222222221,1.0573555555555554,0.5286777777777777,1.5860333333333334,99.77064220183486,99.77064220183486,76.51991614255765,74.84276729559748,10.894495412844037,0.9174311926605505,1.3761467889908259,1.146788990825688,0.22935779816513763,1.6055045871559634,60.550458715596335,94.95412844036697,78.6697247706422,5.5045871559633035,57.22477064220184,31.76605504587156,95.29816513761467,3.096330275229358,9.747706422018348,22.477064220183486,37.61467889908257,14.105504587155963,50.15792270113285,57.32049747081338,23.092023720226074,44.06789032040027,39.021597859327215,33.56296417649629,-0.06315509259259262,faible_echantillon
B. André,Lille,Lille,"LDMF, RDMF",35.0,8000000,2028-06-30,1968,France,France,droite,180,76,non,9.51,6.17,59.26,6.77,46.62,2.05,0.18,6.41,1.46,0.11,0.87,21.05,0.78,52.94,4.3,0.82,0.05,1.37,47.93,85.31,15.0,77.13,3.25,66.2,0.07,0.05,0.32,0.18,7.13,78.85,2.01,52.27,0.69,5.81,85.04,L1,lille,32.74231678486998,53.611111111111114,76.66666666666667,77.77777777777777,Bloc bas,Pressing modéré,Possession,Contre-attaque,9.311390694444444,6.04114412037037,2.007187268518518,6.276131898148148,0.17624083333333332,42.30621333333333,75.30029333333334,5.128293333333334,13.24,6.2934133333333335,0.7212962962962963,0.04398148148148148,0.6861111111111111,83.25688073394495,52.06422018348624,97.06498951781971,80.083857442348,44.95412844036697,64.90825688073394,13.990825688073393,48.1651376146789,66.74311926605505,67.88990825688074,39.44954128440367,45.87155963302752,34.403669724770644,80.96330275229357,73.85321100917432,70.64220183486239,56.65137614678899,81.42201834862385,83.60091743119266,92.43119266055045,44.72477064220183,55.27522935779816,64.04772637662762,62.12740056353739,62.353811021263844,60.54505139428109,62.000573394495405,63.460845347313224,-0.06910879629629628,rotation
S. Abdul Samed,Nice,Nice,"LCMF, RCMF, LDMF",25.0,8000000,2028-06-30,743,Ghana,"Ghana, Côte d'Ivoire",droite,179,69,non,5.94,5.33,54.55,1.94,31.25,0.0,0.0,3.91,1.57,0.0,0.0,0.0,0.73,66.67,3.03,0.48,0.0,0.85,41.18,92.65,8.6,83.1,0.85,85.71,0.0,0.12,0.12,0.0,3.51,82.76,0.24,0.0,0.36,2.42,70.0,L1,nice,56.28019323671498,57.22222222222223,50.27777777777778,61.11111111111111,Bloc médian,Pressing modéré,Équilibré,Mixte,5.70119,5.115714259259259,0.0,3.7528035185185185,0.0,41.11155731481482,92.49601226851853,2.4159778703703703,8.58570648148148,3.50416625,0.45155555555555554,0.0,0.6867407407407408,17.660550458715598,27.981651376146786,14.360587002096437,27.044025157232703,10.894495412844037,58.944954128440365,81.65137614678899,3.669724770642202,17.660550458715598,15.36697247706422,21.788990825688074,21.444954128440365,34.63302752293578,5.5045871559633035,11.238532110091743,88.64678899082568,14.678899082568808,7.339449541284404,58.48623853211009,65.71100917431193,25.344036697247706,19.26605504587156,22.4381082549574,25.470328938510953,32.40585683237579,28.893953444282335,34.59308103975535,33.82481432940149,-0.014509259259259272,echantillon_moyen
